Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A2_061_Line_Y_1km,MOD11A2_061_Sample_X_1km,MOD11A2_061_LST_Day_1km,MOD11A2_061_QC_Day,MOD11A2_061_QC_Day_bitmask,MOD11A2_061_QC_Day_MODLAND,MOD11A2_061_QC_Day_MODLAND_Description,MOD11A2_061_QC_Day_Data_Quality_flag,MOD11A2_061_QC_Day_Data_Quality_flag_Description,MOD11A2_061_QC_Day_Emis_Error_flag,MOD11A2_061_QC_Day_Emis_Error_flag_Description,MOD11A2_061_QC_Day_LST_Error_Flag,MOD11A2_061_QC_Day_LST_Error_Flag_Description
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-02-26,h26v06,1163.0,57.0,303.44,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-03-06,h26v06,1163.0,57.0,303.2,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-03-14,h26v06,1163.0,57.0,302.74,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-03-22,h26v06,1163.0,57.0,303.1,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-03-30,h26v06,1163.0,57.0,304.78,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-04-07,h26v06,1163.0,57.0,306.18,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-04-15,h26v06,1163.0,57.0,300.46,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-04-23,h26v06,1163.0,57.0,305.5,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bhubaneswar,AcharyaVihar,20.3042,85.8078,2026-05-01,h26v06,1163.0,57.0,304.8,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bhubaneswar,AshokNagar,20.2778,85.8231,2026-02-26,h26v06,1166.0,60.0,303.04,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
